     * [https://www.spinics.net/lists/linux-8086/msg00495.html][PATCH 4 of 6], Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00494.html][PATCH 2 of 6], Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00493.html][PATCH 3 of 6], Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00492.html][PATCH 1 of 6], Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00490.html]{PATCH] Fix to more pager, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00489.html][PATCH] Fixed bug when copying many files, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00488.html][PATCH] Improvements to block device code, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00487.html][PATCH] Fix for bug in inode list, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00486.html][PATCH] Standardization of memcpy_form/tofs functions, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00485.html][PATCH] standardization of get_user_* and put_user_* functions, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00483.html][PATCH] Bug fixes to block drivers, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00474.html][PATCH] Ansi-C compatibility fixes, Juan Perez-Sanchez
          + [https://www.spinics.net/lists/linux-8086/msg00475.html]Re: [PATCH] Ansi-C compatibility fixes, ht-lab
          + [https://www.spinics.net/lists/linux-8086/msg00476.html]Re: [PATCH] Ansi-C compatibility fixes, Jody Bruchon
               o [https://www.spinics.net/lists/linux-8086/msg00477.html]Re: [PATCH] Ansi-C compatibility fixes, Bojan Popovic
               o [https://www.spinics.net/lists/linux-8086/msg00482.html]Re: [PATCH] Ansi-C compatibility fixes, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00473.html][PATCH] Fixes to console drivers, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00472.html][PATCH] Fixes to scheduler, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00471.html][PATCH] Improvements in speed and readability of fork functions, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00470.html][PATCH] Fixes and rationalization of startup code, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00469.html][PATCH] Fix to signal handler processing bug, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00468.html][PATCH] Fix to ps command and bug report on signal handlers, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00467.html][PATCH] Reduction of interrupt latency time, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00466.html][PATCH 5 of 5] General improvements to arch dependent code, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00465.html][PATCH 4 of 5] General improvements to arch dependent code, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00464.html][PATCH 3 of 5] General improvements to arch dependent code, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00463.html][PATCH 2 of 5] General improvements to arch dependent code, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00462.html][PATCH 1 of 1] General improvements to arch dependent code, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00460.html][PATCH 5 of 5] Improvement of portability, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00459.html][PATCH 4 of 5] Improvement of portability, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00458.html][PATCH 3 of 5] Improved ansi C compatibility, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00457.html][PATCH 2 of 5] Improved ansi C compatibility, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00387.html][PATCH] Fix meta.c compile error, Jody Bruchon
     * [https://www.spinics.net/lists/linux-8086/msg00386.html][PATCH] Fix romfs void pointer compile error, Jody Bruchon
     * [https://www.spinics.net/lists/linux-8086/msg00385.html]PATCH: more fixes to interrupt code, Juan Perez-Sanchez
