@ [https://www.spinics.net/lists/linux-leds/msg12829.html]Re: [PATCH 5/6] leds: apu: fix error on probing failure, Jacek Anaszewski
+ [https://www.spinics.net/lists/linux-leds/msg12786.html][PATCH 4/6] leds: apu: drop profile field from priv data, Enrico Weigelt, metux IT consult
o [https://www.spinics.net/lists/linux-leds/msg12806.html]Re: [PATCH 4/6] leds: apu: drop profile field from priv data, Pavel Machek
* [https://www.spinics.net/lists/linux-leds/msg12769.html][PATCH v2] leds: max77650: Add of_node_put() before return, Nishka Dasgupta
+ [https://www.spinics.net/lists/linux-leds/msg12770.html][PATCH v3] leds: max77650: Add of_node_put() before return, Nishka Dasgupta
o [https://www.spinics.net/lists/linux-leds/msg12773.html]Re: [PATCH v3] leds: max77650: Add of_node_put() before return, Dan Murphy
o [https://www.spinics.net/lists/linux-leds/msg12774.html]Re: [PATCH v3] leds: max77650: Add of_node_put() before return, Bartosz Golaszewski
o [https://www.spinics.net/lists/linux-leds/msg12797.html]Re: [PATCH v3] leds: max77650: Add of_node_put() before return, Jacek Anaszewski
* [https://www.spinics.net/lists/linux-leds/msg12761.html][PATCH] leds: leds-lp5562 allow firmware files up to the maximum length, Nick Stoughton
+ [https://www.spinics.net/lists/linux-leds/msg12766.html]Re: [PATCH] leds: leds-lp5562 allow firmware files up to the maximum length, Pavel Machek
+ [https://www.spinics.net/lists/linux-leds/msg12798.html]Re: [PATCH] leds: leds-lp5562 allow firmware files up to the maximum length, Jacek Anaszewski
* [https://www.spinics.net/lists/linux-leds/msg12756.html][PATCH v3 0/4] Add a generic driver for LED-based backlight, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12757.html][PATCH v3 1/4] leds: Add of_led_get() and led_put(), Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12762.html]Re: [PATCH v3 1/4] leds: Add of_led_get() and led_put(), Pavel Machek
# [https://www.spinics.net/lists/linux-leds/msg12771.html]Re: [PATCH v3 1/4] leds: Add of_led_get() and led_put(), Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12758.html][PATCH v3 4/4] backlight: add led-backlight driver, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12765.html]Re: [PATCH v3 4/4] backlight: add led-backlight driver, Pavel Machek
+ [https://www.spinics.net/lists/linux-leds/msg12759.html][PATCH v3 3/4] dt-bindings: backlight: Add led-backlight binding, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12764.html]Re: [PATCH v3 3/4] dt-bindings: backlight: Add led-backlight binding, Pavel Machek
# [https://www.spinics.net/lists/linux-leds/msg12772.html]Re: [PATCH v3 3/4] dt-bindings: backlight: Add led-backlight binding, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12760.html][PATCH v3 2/4] leds: Add managed API to get a LED from a device driver, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12763.html]Re: [PATCH v3 2/4] leds: Add managed API to get a LED from a device driver, Pavel Machek
